,address,checkins,city,country,created,icon,id,latitude,longitude,title,type,updated
1315,Никитский б-р 14,3,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5137,55.75552,37.600653,Синдбад,3,1471191278.0
1318,Садовая-Триумфальная 2К1,57,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5140,55.769367,37.597572,Бавариус,3,1528995315.0
1319,Вознесенский пер. 22,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5141,55.760641,37.60752,Губернаторский,3,1418390202.0
1320,Чистопрудный б-р 12а,218,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5142,55.76052,37.643677,Шатер,3,1524356883.0
1323,Воздвиженка 11К3,9,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5145,55.752516,37.603097,Шеш-Беш,3,1412438944.0
1324,Ленинградский просп. 65,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5146,55.802867,37.518848,Три стихии,3,1412353473.0
1326,Карманицкий пер. 9,121,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5148,55.748313,37.583492,Джон Булл Паб,3,1526682293.0
1343,Новолесная 2,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5165,55.781818,37.592114,Пипл,3,1389802334.0
1358,Маршала Жукова 38К1,12,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5180,55.776796,37.471762,Il Patio,3,1484334833.0
1380,Краснохолмская наб. 1К15,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5202,55.736579,37.649777,Рыбное место,3,1373824995.0
1385,Пятницкая 52К2,19,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5207,55.734623,37.627495,Ти-Бон,3,1504717953.0
1389,Косыгина 5,3,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5211,55.706619,37.571866,Джем-сейшен,3,1369247802.0
1397,Оружейный пер. 15а,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5219,55.77197,37.600037,Шизгара,3,1345570767.0
1407,Н.Арбат 1К2,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5229,55.752678,37.598972,Винегрет-кафе,3,
1410,пл. Киевского Вокзала 2,75,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5232,55.744538,37.566267,Академия,3,1523361757.0
1412,Красина 7К1,30,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5234,55.767008,37.588219,Цветение сакуры,3,1526546970.0
1413,Профсоюзная 66,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5235,55.664324,37.546534,Пиффной,3,1523078557.0
1421,просп. Мира 118,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5243,55.810653,37.638364,Асахи,3,1387565837.0
1423,Ленинский просп. 57,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5245,55.696405,37.561169,Золотой Остап,3,1414844116.0
1445,Рудневой 8,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5267,55.86599,37.677786,Полюс,3,1455662839.0
1446,Ленинский просп. 44,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5268,55.701633,37.567837,Порту Атриум,3,1449864035.0
1448,Покровка 4,1,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5270,55.758649,37.641544,Теремок,3,1335628043.0
1449,Кировоградская 14,1,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5271,55.622679,37.605966,Теремок,3,1434224493.0
1450,Рублевское ш. 62,4,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5272,55.766734,37.381078,Теремок,3,1412624815.0
1451,Б.Черемушкинская 1,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5273,55.689557,37.602481,Теремок,3,1339419181.0
1452,Б.Толмачевский пер. 3,3,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5274,55.740051,37.621825,Сад,3,1457876005.0
1456,2-й Звенигородский пер. 3,3,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5278,55.765291,37.555651,Кабачок на Пресне,3,1486239730.0
1458,Совхозная 5,119,155.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5280,55.895964,37.480022,Левый берег,3,1528841047.0
1470,Б.Никитская 47К3,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5292,55.757592,37.589868,Шагал,3,1489250491.0
1472,Ленинский просп. 28,16,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5294,55.713377,37.588442,Пивнушка,3,1525190849.0
1473,Снежная 13К1,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5295,55.852682,37.645321,Паrus,3,1451905156.0
1474,М.Афанасьевский пер. 14К2,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5296,55.750712,37.597436,ТОКИО,3,1498754595.0
1475,Чаянова 11К2,7,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5297,55.773469,37.590758,01 кафе,3,1522946650.0
1478,Маросейка 6,54,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5300,55.757465,37.63535,Этаж,3,1432402294.0
1482,Лескова 26,20,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5304,55.89449,37.613054,Якорь,3,1527906141.0
1484,Семашко ,14,312.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5306,55.893102,37.725703,Город мастеров,3,1507286693.0
1485,25-й км Новорижского ш ,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5307,55.588135,37.721013,Балтия,3,1353832283.0
1486,Ленинградский просп. 48К1,25,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5308,55.796233,37.543205,Sea-тория,3,1500826051.0
1487,Минская 5а,5,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5309,55.735474,37.485969,Leo Сafe,3,1437672311.0
1488,Красина 27К1,1,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5310,55.769535,37.584996,Spicy,3,1284791883.0
1490,Бродников пер. 8,30,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5312,55.73736,37.616737,Полянка,3,1490631180.0
1492,Чермянский пр. 1,22,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5314,55.885337,37.632341,Скейтпарк,3,1455879644.0
1493,Миклухо-Маклая 32а,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5315,55.640726,37.530678,Теремок,3,1385139137.0
1524,Декабристов 12,32,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5346,55.863211,37.60195,Сварня,3,1517343575.0
1531,Новослободская 3,2,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5353,55.779059,37.600711,Ходжа Насреддин в Бухаре,3,1350338194.0
1536,Солянский пр. 3,0,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5358,55.754314,37.636396,Eat & Spoke,3,
1556,М.Дмитровка К2,22,1.0,1,1280742078,https://vk.com/images/places/restaraunt.png,5378,55.767306,37.606703,Шоколадница,3,1501092096.0
